notes,test_notes,product_url,part_number,product_grade,product_modifier,application,vehicle_id,short_description,price,bolt_pattern,recommended_wheel_size,wheel_fitment_pn,recommended_tire_size,tire_fitment_pn
,,,K4236MS,base,,FORD F-150 04-08,"54432,54432,55606,55607,55612,56705,56753,57476,57477,57477,57479,57480,57480,63085,70838,70839,70841,70842,70843,54435,55608,56703,56704,56704,57476,57478,57479,57480,63084,70841,70842,70843,70845,70845,70846,234383,54431,54433,54433,54434,55611,55611,56702,56703,56704,56705,56705,56753,57478,57479,57479,63084,63086,70838,70839,70840,70841,70841,70842,70844,70844,70846,234383,55606,55610,55611,55612,55612,56701,56701,56702,56704,56705,56754,56754,57480,63086,70838,70840,70842,234383,"," 0-2""/ 0""  System with PRO-M Shocks", $	399.96 ,6x135,17X8.5 +25MM,"MR30578516525, MR70578516825, MR70378516925, MR70678516525",315/70/17 LRC,"BFG08806, PCT43157017"
,,https://www.procompusa.com/product-skus/2-lift-kit-with-pro-m-shocks-and-upper-control-arms-k4236msu/,K4236MSU,base-uca,,FORD F-150 04-08,"54432,54432,55606,55607,55612,56705,56753,57476,57477,57477,57479,57480,57480,63085,70838,70839,70841,70842,70843,54435,55608,56703,56704,56704,57476,57478,57479,57480,63084,70841,70842,70843,70845,70845,70846,234383,54431,54433,54433,54434,55611,55611,56702,56703,56704,56705,56705,56753,57478,57479,57479,63084,63086,70838,70839,70840,70841,70841,70842,70844,70844,70846,234383,55606,55610,55611,55612,55612,56701,56701,56702,56704,56705,56754,56754,57480,63086,70838,70840,70842,234383,"," 0-2""/ 0""  System with PRO-M Shocks and Upper Control Arms"," $	1,155.95 ",6x135,17X8.5 +25MM,"MR30578516525, MR70578516825, MR70378516925, MR70678516525",315/70/17 LRC,"BFG08806, PCT43157017"
,,https://www.procompusa.com/product-skus/2-lift-kit-with-pro-m-shocks-k4237ms/,K4237MS,base,,FORD F-150 09-13,"73879,73882,143966,143967,143969,143970,143970,143971,155757,156319,156321,156321,156321,156326,191768,191770,191770,191773,191773,191775,191775,191775,191776,191776,191776,193766,193768,193771,193784,73878,73880,73880,73881,143972,143974,156318,156318,156320,156323,156323,156325,156325,156325,191767,191767,191772,191772,191772,193763,193763,193766,193766,193768,193770,193770,193770,73876,73877,73881,73881,143972,155757,156322,156322,156324,156324,191770,193762,193765,193771,193771,193771,73882,73882,143968,143971,143971,143972,156317,156317,156320,156322,156324,191766,191766,191769,191769,193762,193762,193763,193765,193767,193767,193767,"," 0-2""/ 0""  System with PRO-M Shocks", $	399.96 ,6x135,17X8.5 +25MM,"MR70578516825, MR70378516925, MR30578516325, MR70378516525",315/70/17 LRC,"BFG08806, PCT43157017"
,,https://www.procompusa.com/product-skus/2-lift-kit-with-pro-m-shocks-and-upper-control-arms-k4237msu/,K4237MSU,base-uca,,FORD F-150 09-13,"73879,73882,143966,143967,143969,143970,143970,143971,155757,156319,156321,156321,156321,156326,191768,191770,191770,191773,191773,191775,191775,191775,191776,191776,191776,193766,193768,193771,193784,73878,73880,73880,73881,143972,143974,156318,156318,156320,156323,156323,156325,156325,156325,191767,191767,191772,191772,191772,193763,193763,193766,193766,193768,193770,193770,193770,73876,73877,73881,73881,143972,155757,156322,156322,156324,156324,191770,193762,193765,193771,193771,193771,73882,73882,143968,143971,143971,143972,156317,156317,156320,156322,156324,191766,191766,191769,191769,193762,193762,193763,193765,193767,193767,193767,"," 0-2""/ 0""  System with PRO-M Shocks and Upper Control Arms"," $	1,155.95 ",6x135,17X8.5 +25MM,"MR30578516525, MR70578516825, MR70378516925, MR70678516925",315/70/17 LRC,"BFG08806, PCT43157017"
,,https://www.procompusa.com/product-skus/3-lift-kit-with-vst-2-5-coilovers-and-shocks-k4236bx/,K4236BX,pro,,FORD F-150 04-13,"54432,54432,55606,55607,55612,56705,56753,57476,57477,57477,57479,57480,57480,63085,70838,70839,70841,70842,70843,54435,55608,56703,56704,56704,57476,57478,57479,57480,63084,70841,70842,70843,70845,70845,70846,234383,54431,54433,54433,54434,55611,55611,56702,56703,56704,56705,56705,56753,57478,57479,57479,63084,63086,70838,70839,70840,70841,70841,70842,70844,70844,70846,234383,55606,55610,55611,55612,55612,56701,56701,56702,56704,56705,56754,56754,57480,63086,70838,70840,70842,234383,73879,73882,143966,143967,143969,143970,143970,143971,155757,156319,156321,156321,156321,156326,191768,191770,191770,191773,191773,191775,191775,191775,191776,191776,191776,193766,193768,193771,193784,73878,73880,73880,73881,143972,143974,156318,156318,156320,156323,156323,156325,156325,156325,191767,191767,191772,191772,191772,193763,193763,193766,193766,193768,193770,193770,193770,73876,73877,73881,73881,143972,155757,156322,156322,156324,156324,191770,193762,193765,193771,193771,193771,73882,73882,143968,143971,143971,143972,156317,156317,156320,156322,156324,191766,191766,191769,191769,193762,193762,193763,193765,193767,193767,193767,"," 1-3""/ 0""  System with PRO-VST 2.5"" Coilovers and Shocks"," $	1,974.97 ",6x135,17X8.5 +25MM,"MR30578516525, MR70578516825, MR70378516925, MR70678516525",315/70/17 LRC,"BFG08806, PCT43157017"
,,https://www.procompusa.com/product-skus/3-lift-kit-with-vst-2-5-coilovers-shocks-and-upper-control-arms-k4236bxu/,K4236BXU,pro-uca,,FORD F-150 04-13,"54432,54432,55606,55607,55612,56705,56753,57476,57477,57477,57479,57480,57480,63085,70838,70839,70841,70842,70843,54435,55608,56703,56704,56704,57476,57478,57479,57480,63084,70841,70842,70843,70845,70845,70846,234383,54431,54433,54433,54434,55611,55611,56702,56703,56704,56705,56705,56753,57478,57479,57479,63084,63086,70838,70839,70840,70841,70841,70842,70844,70844,70846,234383,55606,55610,55611,55612,55612,56701,56701,56702,56704,56705,56754,56754,57480,63086,70838,70840,70842,234383,73879,73882,143966,143967,143969,143970,143970,143971,155757,156319,156321,156321,156321,156326,191768,191770,191770,191773,191773,191775,191775,191775,191776,191776,191776,193766,193768,193771,193784,73878,73880,73880,73881,143972,143974,156318,156318,156320,156323,156323,156325,156325,156325,191767,191767,191772,191772,191772,193763,193763,193766,193766,193768,193770,193770,193770,73876,73877,73881,73881,143972,155757,156322,156322,156324,156324,191770,193762,193765,193771,193771,193771,73882,73882,143968,143971,143971,143972,156317,156317,156320,156322,156324,191766,191766,191769,191769,193762,193762,193763,193765,193767,193767,193767,"," 1-3""/ 0""  System with PRO-VST 2.5""  Coilovers, Shocks and Upper Control Arms"," $	2,730.96 ",6x135,17X8.5 +25MM,"MR30578516525, MR70578516825, MR70378516925, MR70678516925",315/70/17 LRC,"BFG08806, PCT43157017"
,,,K4235MS,base,,FORD F-150 14-22 ,"207560,207560,207562,207563,207563,207565,207565,207566,207566,207566,211359,211359,211360,211363,231881,231881,231883,231883,231884,231884,241380,241381,241381,241384,241386,248556,248558,256792,256792,256793,256794,256795,256797,256797,257354,259755,259756,259756,259758,259761,259762,259763,271257,271257,271435,271435,271436,271436,271439,283484,283484,283594,283595,283598,283599,283685,283686,207557,207557,207557,207560,207565,207565,207566,207566,211360,211362,231880,231882,231883,231884,231885,238851,241380,241381,241385,241385,248557,248557,248557,248559,248561,248561,207559,207562,207562,207563,207566,256795,256796,256797,257354,259755,259761,259762,259762,271257,271435,271439,271439,271441,271441,271442,271442,284803,211361,211361,211362,231880,231881,231882,231883,231884,283484,283484,283594,283594,283595,283599,283685,283686,241380,241381,241382,241383,248556,248557,248557,248559,248561,248562,249047,256792,256795,256796,259757,259758,259758,259762,259763,271257,271435,271440,271441,271441,271441,271442,271442,283594,283594,283594,283598,283685,283685,289315,207558,207558,207558,207559,207561,207563,207565,211359,211359,211360,211360,211361,211363,238851,241380,241382,241382,241383,241386,248556,248556,248556,248558,248559,248559,249047,249047,256792,256792,256794,256794,256795,256796,256797,256797,259755,259756,259758,259762,259763,259763,259763,271257,271257,271435,271435,271439,271440,283484,283484,283598,283598,283685,283686,283686,"," 0-2""/ 0""  System with PRO-M Shocks", $	439.96 ,6x135,17X8.5 +25MM,"MR30578516525, MR70578516825, MR70378516925, MR70678516525",315/70/17 LRC,"BFG08806, PCT43157017"
,,https://www.procompusa.com/product-skus/2-lift-kit-with-pro-m-shocks-and-upper-control-arms-k4235msu/,K4235MSU,base-uca,,FORD F-150 14-22 ,"207560,207560,207562,207563,207563,207565,207565,207566,207566,207566,211359,211359,211360,211363,231881,231881,231883,231883,231884,231884,241380,241381,241381,241384,241386,248556,248558,256792,256792,256793,256794,256795,256797,256797,257354,259755,259756,259756,259758,259761,259762,259763,271257,271257,271435,271435,271436,271436,271439,283484,283484,283594,283595,283598,283599,283685,283686,207557,207557,207557,207560,207565,207565,207566,207566,211360,211362,231880,231882,231883,231884,231885,238851,241380,241381,241385,241385,248557,248557,248557,248559,248561,248561,207559,207562,207562,207563,207566,256795,256796,256797,257354,259755,259761,259762,259762,271257,271435,271439,271439,271441,271441,271442,271442,284803,211361,211361,211362,231880,231881,231882,231883,231884,283484,283484,283594,283594,283595,283599,283685,283686,241380,241381,241382,241383,248556,248557,248557,248559,248561,248562,249047,256792,256795,256796,259757,259758,259758,259762,259763,271257,271435,271440,271441,271441,271441,271442,271442,283594,283594,283594,283598,283685,283685,289315,207558,207558,207558,207559,207561,207563,207565,211359,211359,211360,211360,211361,211363,238851,241380,241382,241382,241383,241386,248556,248556,248556,248558,248559,248559,249047,249047,256792,256792,256794,256794,256795,256796,256797,256797,259755,259756,259758,259762,259763,259763,259763,271257,271257,271435,271435,271439,271440,283484,283484,283598,283598,283685,283686,283686,"," 0-2""/ 0""  System with PRO-M Shocks and Upper Control Arms"," $	1,195.95 ",6x135,17X8.5 +25MM,"MR30578516525, MR70578516825, MR70378516925, MR70678516525",315/70/17 LRC,"BFG08806, PCT43157017"
,,https://www.procompusa.com/product-skus/3-lift-kit-with-vst-2-5-coilovers-and-shocks-k4235bx/,K4235BX,pro,,FORD F-150 14-22 ,"207560,207560,207562,207563,207563,207565,207565,207566,207566,207566,211359,211359,211360,211363,231881,231881,231883,231883,231884,231884,241380,241381,241381,241384,241386,248556,248558,256792,256792,256793,256794,256795,256797,256797,257354,259755,259756,259756,259758,259761,259762,259763,271257,271257,271435,271435,271436,271436,271439,283484,283484,283594,283595,283598,283599,283685,283686,207557,207557,207557,207560,207565,207565,207566,207566,211360,211362,231880,231882,231883,231884,231885,238851,241380,241381,241385,241385,248557,248557,248557,248559,248561,248561,207559,207562,207562,207563,207566,256795,256796,256797,257354,259755,259761,259762,259762,271257,271435,271439,271439,271441,271441,271442,271442,284803,211361,211361,211362,231880,231881,231882,231883,231884,283484,283484,283594,283594,283595,283599,283685,283686,241380,241381,241382,241383,248556,248557,248557,248559,248561,248562,249047,256792,256795,256796,259757,259758,259758,259762,259763,271257,271435,271440,271441,271441,271441,271442,271442,283594,283594,283594,283598,283685,283685,289315,207558,207558,207558,207559,207561,207563,207565,211359,211359,211360,211360,211361,211363,238851,241380,241382,241382,241383,241386,248556,248556,248556,248558,248559,248559,249047,249047,256792,256792,256794,256794,256795,256796,256797,256797,259755,259756,259758,259762,259763,259763,259763,271257,271257,271435,271435,271439,271440,283484,283484,283598,283598,283685,283686,283686,"," 1-3""/ 0""  System with PRO-VST 2.5"" Coilovers and Shocks"," $	1,970.97 ",6x135,17X8.5 +25MM,"MR70578516825, MR70378516925, MR30578516325, MR70378516525",315/70/17 LRC,"BFG08806, PCT43157017"
,,https://www.procompusa.com/product-skus/3-lift-kit-with-vst-2-5-coilovers-shocks-and-upper-control-arms-k4235bxu/,K4235BXU,pro-uca,,FORD F-150 14-22 ,"207560,207560,207562,207563,207563,207565,207565,207566,207566,207566,211359,211359,211360,211363,231881,231881,231883,231883,231884,231884,241380,241381,241381,241384,241386,248556,248558,256792,256792,256793,256794,256795,256797,256797,257354,259755,259756,259756,259758,259761,259762,259763,271257,271257,271435,271435,271436,271436,271439,283484,283484,283594,283595,283598,283599,283685,283686,207557,207557,207557,207560,207565,207565,207566,207566,211360,211362,231880,231882,231883,231884,231885,238851,241380,241381,241385,241385,248557,248557,248557,248559,248561,248561,207559,207562,207562,207563,207566,256795,256796,256797,257354,259755,259761,259762,259762,271257,271435,271439,271439,271441,271441,271442,271442,284803,211361,211361,211362,231880,231881,231882,231883,231884,283484,283484,283594,283594,283595,283599,283685,283686,241380,241381,241382,241383,248556,248557,248557,248559,248561,248562,249047,256792,256795,256796,259757,259758,259758,259762,259763,271257,271435,271440,271441,271441,271441,271442,271442,283594,283594,283594,283598,283685,283685,289315,207558,207558,207558,207559,207561,207563,207565,211359,211359,211360,211360,211361,211363,238851,241380,241382,241382,241383,241386,248556,248556,248556,248558,248559,248559,249047,249047,256792,256792,256794,256794,256795,256796,256797,256797,259755,259756,259758,259762,259763,259763,259763,271257,271257,271435,271435,271439,271440,283484,283484,283598,283598,283685,283686,283686,"," 1-3""/ 0""  System with PRO-VST 2.5"" Coilovers, Shocks and Upper Control Arms"," $	2,726.96 ",6x135,17X8.5 +25MM,"MR70578516825, MR70378516925, MR30578516325, MR70378516525",315/70/17 LRC,"BFG08806, PCT43157017"
No UCA - skip UCA upgrade screen,,https://www.procompusa.com/product-skus/2-lift-kit-with-pro-m-shocks-k4241m/,K4241M,base,plus,FORD F250-F350 11-16,"155583,155584,155587,155588,190543,190545,190547,190549,190551,190553,190555,190555,193630,193631,193634,193636,193637,193638,206985,206986,206988,211007,211008,211011,211012,211013,211014,211015,211016,228770,228773,228776,155588,190543,190545,193631,193634,193635,193638,193645,206983,206984,206987,206987,206988,206991,211008,211009,211012,211014,211015,211016,228769,228772,228777,228778,155583,155585,155587,155589,155590,190547,190549,190551,190553,190557,193630,193632,193633,193636,193637,193645,206982,206985,206986,206992,206993,206993,211009,211010,228771,228774,228775,228776,228778,155584,155585,155586,155586,155589,155590,190557,193632,193633,193635,206982,206983,206984,206991,206992,211007,211010,211011,211013,228769,228770,228771,228772,228773,228774,228775,228777,"," 2.5""/ 0""  System with PRO-M Shocks with Front Coils and Adjustable Track Bar with Bracket"," $	1,486.92 ",8x170,17X8.5 +25MM,,37x12.5x17 LRD OR LRE,BFG35666
No UCA - skip UCA upgrade screen,,,K4245M,base,,FORD F250-F350 11-16,"155583,155584,155587,155588,190543,190545,190547,190549,190551,190553,190555,190555,193630,193631,193634,193636,193637,193638,206985,206986,206988,211007,211008,211011,211012,211013,211014,211015,211016,228770,228773,228776,155588,190543,190545,193631,193634,193635,193638,193645,206983,206984,206987,206987,206988,206991,211008,211009,211012,211014,211015,211016,228769,228772,228777,228778,155583,155585,155587,155589,155590,190547,190549,190551,190553,190557,193630,193632,193633,193636,193637,193645,206982,206985,206986,206992,206993,206993,211009,211010,228771,228774,228775,228776,228778,155584,155585,155586,155586,155589,155590,190557,193632,193633,193635,206982,206983,206984,206991,206992,211007,211010,211011,211013,228769,228770,228771,228772,228773,228774,228775,228777,"," 3.5""/ 3.25""  System with PRO-M Shocks"," $	1,159.95 ",8x170,17X8.5 +25MM,,37x12.5x17 LRD OR LRE,BFG35666
No UCA - skip UCA upgrade screen,,https://www.procompusa.com/product-skus/2-5-lift-kit-with-vst-2-5-shocks-k4241bx/,K4241BX,pro,,FORD F250-F350 11-16,"155583,155584,155587,155588,190543,190545,190547,190549,190551,190553,190555,190555,193630,193631,193634,193636,193637,193638,206985,206986,206988,211007,211008,211011,211012,211013,211014,211015,211016,228770,228773,228776,155588,190543,190545,193631,193634,193635,193638,193645,206983,206984,206987,206987,206988,206991,211008,211009,211012,211014,211015,211016,228769,228772,228777,228778,155583,155585,155587,155589,155590,190547,190549,190551,190553,190557,193630,193632,193633,193636,193637,193645,206982,206985,206986,206992,206993,206993,211009,211010,228771,228774,228775,228776,228778,155584,155585,155586,155586,155589,155590,190557,193632,193633,193635,206982,206983,206984,206991,206992,211007,211010,211011,211013,228769,228770,228771,228772,228773,228774,228775,228777,"," 2.5""/ 0""  System with PRO-VST 2.5"" Shocks with Front Coils and Adjustable Track Bar with Bracket"," $	1,926.94 ",8x170,17X8.5 +25MM,,37x12.5x17 LRD OR LRE,BFG35666
No UCA - skip UCA upgrade screen,,,K4242M,base,plus,FORD F250-F350 17-22,"240535,240536,240537,240538,240539,240540,240542,248552,248554,248555,248547,248549,255879,255880,255881,255882,255884,255885,255888,260605,260607,260608,260609,260612,260616,271448,271450,271451,271444,286014,286014,286747,286747,286748,286748,286015,286741,286744,286745,240535,240536,240541,240542,240543,240544,248551,248552,248555,251599,248546,248547,248548,248550,248550,251600,255879,255881,255882,255883,255883,255885,255886,255886,255889,255890,260605,260607,260608,260610,260612,260613,260614,260615,260616,271255,271448,271449,271451,271452,271256,271444,271446,271447,286746,286747,286750,286015,286015,286742,286743,240540,240541,240544,248553,248554,248546,248549,255880,260605,260606,260607,260609,260611,260612,260615,260616,271255,271448,271449,271451,271452,271452,271256,271443,271445,271446,271447,286014,286746,286748,286750,286742,286745,240537,240538,240539,240543,248551,248553,248548,255887,255887,255888,255890,260608,260609,260610,260610,260613,260613,260614,260614,260615,271255,271449,271256,271443,271443,271444,271446,271447,286746,286749,286750,286741,286741,286742,286743,286743,286745,"," 2.5""/ 0""  System with PRO-M Shocks with Front Coils and Adjustable Track Bar with Bracket"," $	1,554.92 ",8x170,17X8.5 +25MM,,37x12.5x17 LRD OR LRE,BFG35666
No UCA - skip UCA upgrade screen,,https://www.procompusa.com/product-skus/2-lift-kit-with-pro-m-shocks-k4246m/,K4246M,base,,FORD F250-F350 17-22,"240535,240536,240537,240538,240539,240540,240542,248552,248554,248555,248547,248549,255879,255880,255881,255882,255884,255885,255888,260605,260607,260608,260609,260612,260616,271448,271450,271451,271444,286014,286014,286747,286747,286748,286748,286015,286741,286744,286745,240535,240536,240541,240542,240543,240544,248551,248552,248555,251599,248546,248547,248548,248550,248550,251600,255879,255881,255882,255883,255883,255885,255886,255886,255889,255890,260605,260607,260608,260610,260612,260613,260614,260615,260616,271255,271448,271449,271451,271452,271256,271444,271446,271447,286746,286747,286750,286015,286015,286742,286743,240540,240541,240544,248553,248554,248546,248549,255880,260605,260606,260607,260609,260611,260612,260615,260616,271255,271448,271449,271451,271452,271452,271256,271443,271445,271446,271447,286014,286746,286748,286750,286742,286745,240537,240538,240539,240543,248551,248553,248548,255887,255887,255888,255890,260608,260609,260610,260610,260613,260613,260614,260614,260615,271255,271449,271256,271443,271443,271444,271446,271447,286746,286749,286750,286741,286741,286742,286743,286743,286745,"," 3.5""/ 3.25""  System with PRO-M Shocks"," $	1,239.95 ",8x170,17X8.5 +25MM,,37x12.5x17 LRD OR LRE,BFG35666
No UCA - skip UCA upgrade screen,,https://www.procompusa.com/product-skus/2-5-lift-kit-with-vst-2-5-shocks-k4242bx/,K4242BX,pro,,FORD F250-F350 17-22,"240535,240536,240537,240538,240539,240540,240542,248552,248554,248555,248547,248549,255879,255880,255881,255882,255884,255885,255888,260605,260607,260608,260609,260612,260616,271448,271450,271451,271444,286014,286014,286747,286747,286748,286748,286015,286741,286744,286745,240535,240536,240541,240542,240543,240544,248551,248552,248555,251599,248546,248547,248548,248550,248550,251600,255879,255881,255882,255883,255883,255885,255886,255886,255889,255890,260605,260607,260608,260610,260612,260613,260614,260615,260616,271255,271448,271449,271451,271452,271256,271444,271446,271447,286746,286747,286750,286015,286015,286742,286743,240540,240541,240544,248553,248554,248546,248549,255880,260605,260606,260607,260609,260611,260612,260615,260616,271255,271448,271449,271451,271452,271452,271256,271443,271445,271446,271447,286014,286746,286748,286750,286742,286745,240537,240538,240539,240543,248551,248553,248548,255887,255887,255888,255890,260608,260609,260610,260610,260613,260613,260614,260614,260615,271255,271449,271256,271443,271443,271444,271446,271447,286746,286749,286750,286741,286741,286742,286743,286743,286745,"," 2.5""/ 0""  System with PRO-VST 2.5"" Shocks with Front Coils and Adjustable Track Bar with Bracket"," $	1,994.94 ",8x170,17X8.5 +25MM,,37x12.5x17 LRD OR LRE,BFG35666
,,https://www.procompusa.com/product-skus/2-5-lift-kit-with-vst-2-5-coilovers-and-shocks-k4231bx/,K4231BX,pro,,FORD RANGER 19-22,"253330,253332,259754,271253,253331,271460,283440,283600,283601,259752,259753,271459,"," 1-2.75""/ 0""  System with PRO-VST 2.5"" Coilovers and Shocks"," $	1,884.97 ",6X5.5,17x8.5 +35MM,,285/70/17 LRC,"BFG81501, PCT42857017"
For models with Aluminum Knuckles,,https://www.procompusa.com/product-skus/2-5-lift-kit-with-vst-2-5-coilovers-shocks-and-upper-control-arms-k4231bxu/,K4231BXU,pro-uca,aluminum-knuckles,FORD RANGER 19-22,"253330,253332,259754,271253,253331,271460,283440,283600,283601,259752,259753,271459,"," 1-2.75""/ 0""  System with PRO-VST 2.5"" Coilovers, Shocks and Upper Control Arms"," $	2,640.96 ",6X5.5,17x8.5 +35MM,,285/70/17 LRC,"BFG81501, PCT42857017"
For models with Steel Knuckles,,https://www.procompusa.com/product-skus/2-5-lift-kit-with-vst-2-5-coilovers-shocks-and-upper-control-arms-k4234bxu/,K4234BXU,pro-uca,steel-knuckles,FORD RANGER 19-22,"253330,253332,259754,271253,253331,271460,283440,283600,283601,259752,259753,271459,"," 1-2.75""/ 0""  System with PRO-VST 2.5"" Coilovers, Shocks and Upper Control Arms"," $	2,640.96 ",6X5.5,17x8.5 +35MM,,285/70/17 LRC,"BFG81501, PCT42857017"
